Supplemental Table 2. Data included in the meta-analysis examining the effects of pH on fertilization rate.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
phylum,paper_link,study,taxonomic_group,common_name,latin_name,p_h_experimental,p_h_control,p_co2_experimental,p_co2_control,ave_fert_percent_p_h,error_percent_p_h,error_statistic,number_trials_p_h,number_individuals_eggs_trial,incubation_time,sperm_per_m_l,sperm_egg_ratio,number_females,number_males,secondary_stressor,what_is_2nd_stressor,sec_stressor_treatment,details,ave_fert_proport
Echinoderm,https://doi.org/10.1086/BBLv226n1p1,"Frieder, 2014",urchin,Sea urchin,Strongylocentrotus purpuratus,7.62,7.95,1156,501,97.12,2.16,SD,3,100,20,5000,1000,2,2,no,NA,NA,Eggs pre-incubated for 20 minutes,0.9712
Echinoderm,https://doi.org/10.1086/BBLv226n1p1,"Frieder, 2014",urchin,Sea urchin,Strongylocentrotus purpuratus,7.54,7.95,1427,501,96.04,1.56,SD,3,100,20,5000,1000,2,2,no,NA,NA,Eggs pre-incubated for 20 minutes,0.9604
Echinoderm,https://doi.org/10.1086/BBLv226n1p1,"Frieder, 2014",urchin,Sea urchin,Strongylocentrotus purpuratus,7.46,7.95,1729,501,92.56,6.6,SD,3,100,20,5000,1000,2,2,no,NA,NA,Eggs pre-incubated for 20 minutes,0.9256
Echinoderm,https://doi.org/10.1086/BBLv226n1p1,"Frieder, 2014",urchin,Sea urchin,Strongylocentrotus purpuratus,7.38,7.95,2081,501,88.01,4.08,SD,3,100,20,5000,1000,2,2,no,NA,NA,Eggs pre-incubated for 20 minutes,0.8801
Echinoderm,https://doi.org/10.1086/BBLv226n1p1,"Frieder, 2014",urchin,Sea urchin,Strongylocentrotus purpuratus,7.26,7.95,2801,501,33.31,11.51,SD,3,100,20,5000,1000,2,2,no,NA,NA,Eggs pre-incubated for 20 minutes,0.3331
Echinoderm,https://doi.org/10.1086/BBLv226n1p1,"Frieder, 2014",urchin,Sea urchin,Strongylocentrotus franciscanus,8,8,442,442,99.52,1.8,SD,3,100,20,10000,2000,2,2,no,NA,NA,Eggs pre-incubated for 20 minutes,0.9952
Echinoderm,https://doi.org/10.1086/BBLv226n1p1,"Frieder, 2014",urchin,Sea urchin,Strongylocentrotus franciscanus,7.94,8,526,442,86.93,5.4,SD,3,100,20,10000,2000,2,2,no,NA,NA,Eggs pre-incubated for 20 minutes,0.8693
Echinoderm,https://doi.org/10.1086/BBLv226n1p1,"Frieder, 2014",urchin,Sea urchin,Strongylocentrotus franciscanus,7.84,8,669,442,79.73,7.08,SD,3,100,20,10000,2000,2,2,no,NA,NA,Eggs pre-incubated for 20 minutes,0.7973
Echinoderm,https://doi.org/10.1086/BBLv226n1p1,"Frieder, 2014",urchin,Sea urchin,Strongylocentrotus franciscanus,7.78,8,781,442,78.89,6.6,SD,3,100,20,10000,2000,2,2,no,NA,NA,Eggs pre-incubated for 20 minutes,0.7889
Echinoderm,https://doi.org/10.1086/BBLv226n1p1,"Frieder, 2014",urchin,Sea urchin,Strongylocentrotus franciscanus,7.69,8,992,442,73.13,0,SD,3,100,20,10000,2000,2,2,no,NA,NA,Eggs pre-incubated for 20 minutes,0.7313
Echinoderm,https://doi.org/10.1086/BBLv226n1p1,"Frieder, 2014",urchin,Sea urchin,Strongylocentrotus franciscanus,7.61,8,1203,442,68.22,3.36,SD,3,100,20,10000,2000,2,2,no,NA,NA,Eggs pre-incubated for 20 minutes,0.6822
Echinoderm,https://doi.org/10.1086/BBLv226n1p1,"Frieder, 2014",urchin,Sea urchin,Strongylocentrotus franciscanus,7.54,8,1410,442,65.82,3.12,SD,3,100,20,10000,2000,2,2,no,NA,NA,Eggs pre-incubated for 20 minutes,0.6582
Echinoderm,https://doi.org/10.1086/BBLv226n1p1,"Frieder, 2014",urchin,Sea urchin,Strongylocentrotus franciscanus,7.44,8,1797,442,55.14,5.52,SD,3,100,20,10000,2000,2,2,no,NA,NA,Eggs pre-incubated for 20 minutes,0.5514
Echinoderm,https://doi.org/10.1086/BBLv226n1p1,"Frieder, 2014",urchin,Sea urchin,Strongylocentrotus franciscanus,7.36,8,2212,442,49.87,2.4,SD,3,100,20,10000,2000,2,2,no,NA,NA,Eggs pre-incubated for 20 minutes,0.4987
Echinoderm,https://doi.org/10.1016/j.cub.2008.06.015,"Havenhand, 2008",urchin,Sea urchin,Heliocidaris erythrogramma,8.1,8.1,370,370,62,7.8,SE,5,100,30,100000,NA,5,5,no,NA,NA,"From email: five single-cross MxF replicate pairs (10 animals in total), with six technical replicates per pair and treatment – so 6 control replicates and six acidified replicates for pair 1, with 100 eggs counted in each of the replicates",0.62
Echinoderm,https://doi.org/10.1016/j.cub.2008.06.015,"Havenhand, 2008",urchin,Sea urchin,Heliocidaris erythrogramma,7.7,8.1,1000,370,50.7,8.4,SE,5,100,30,100000,NA,5,5,no,NA,NA,"From email: five single-cross MxF replicate pairs (10 animals in total), with six technical replicates per pair and treatment – so 6 control replicates and six acidified replicates for pair 1, with 100 eggs counted in each of the replicates",0.507
Echinoderm,doi.org/10.3354/meps274161,"Kurihara, 2004",urchin,Sea urchin,Hemicentrotus pulcherrimus,8,8,365,365,100,10.07,SD,6,300,15,NA,NA,NA,NA,no,NA,NA,CO2 bubble experiment,1
Echinoderm,doi.org/10.3354/meps274161,"Kurihara, 2004",urchin,Sea urchin,Hemicentrotus pulcherrimus,7.8,8,865,365,98.8,10.79,SD,6,300,15,NA,NA,NA,NA,no,NA,NA,CO2 bubble experiment,0.988
Echinoderm,doi.org/10.3354/meps274161,"Kurihara, 2004",urchin,Sea urchin,Hemicentrotus pulcherrimus,7.6,8,1365,365,95.68,6.47,SD,6,300,15,NA,NA,NA,NA,no,NA,NA,CO2 bubble experiment,0.9568
